Row Num,Season,Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,PL,Open OU,,Close OU,
2989,2016/2017,1101,69,V,Nashville,2,1,2,5,-105,-108,+1.5(-315),5.5,-110,5.5,120
2990,2016/2017,1101,70,H,Colorado,1,0,0,1,-115,-112,-1.5(+250),5.5,-110,5.5,-140
2991,2016/2017,1101,71,V,SanJose,1,0,1,2,-170,-172,-1.5(+170),5.5,115,5.5,110
2992,2016/2017,1101,72,H,Arizona,0,3,0,3,150,152,+1.5(-200),5.5,-135,5.5,-130
2993,2016/2017,1101,73,V,Anaheim,1,3,0,4,115,-101,+1.5(-310),5,-130,5,-105
2994,2016/2017,1101,74,H,LosAngeles,0,0,0,0,-135,-119,-1.5(+250),5,110,5,-115
2995,2016/2017,1102,1,V,Vancouver,0,0,0,0,185,205,+1.5(-147),5,-120,5,-110
2996,2016/2017,1102,2,H,Montreal,0,2,1,3,-215,-245,-1.5(+125),5,100,5,-110
2997,2016/2017,1102,3,V,Detroit,2,0,1,3,105,125,+1.5(-245),5.5,105,5.5,100
2998,2016/2017,1102,4,H,Philadelphia,0,1,2,4,-125,-145,-1.5(+205),5.5,-125,5.5,-120
2999,2016/2017,1102,5,V,Pittsburgh,2,1,2,5,-110,-150,-1.5(+205),5.5,100,5,-140
3000,2016/2017,1102,6,H,Anaheim,1,0,0,1,-110,130,+1.5(-245),5.5,-120,5,120
3001,2016/2017,1103,51,V,Edmonton,1,1,1,3,150,150,+1.5(-199),5.5,100,5.5,100
3002,2016/2017,1103,52,H,NYRangers,1,1,3,5,-170,-170,-1.5(+169),5.5,-120,5.5,-120
3003,2016/2017,1103,53,V,Winnipeg,0,0,3,3,190,205,+1.5(-145),5,-130,5,-140
3004,2016/2017,1103,54,H,Washington,1,2,0,4,-230,-245,-1.5(+125),5,110,5,120
3005,2016/2017,1103,55,V,Toronto,1,1,0,2,120,-127,-1.5(+239),5.5,110,5.5,105
3006,2016/2017,1103,56,H,Buffalo,0,1,0,1,-140,107,+1.5(-298),5.5,-130,5.5,-125
3007,2016/2017,1103,57,V,Philadelphia,0,1,1,3,135,130,+1.5(-240),5.5,-110,5.5,-116
3008,2016/2017,1103,58,H,NYIslanders,0,1,1,2,-155,-150,-1.5(+200),5.5,-110,5.5,-104
3009,2016/2017,1103,59,V,Vancouver,0,0,0,0,160,145,+1.5(-219),5.5,115,5.5,105
3010,2016/2017,1103,60,H,Ottawa,0,1,0,1,-180,-165,-1.5(+185),5.5,-135,5.5,-125
3011,2016/2017,1103,61,V,NewJersey,0,1,2,3,135,129,+1.5(-245),5,115,4.5,-140
3012,2016/2017,1103,62,H,Florida,1,1,1,4,-155,-149,-1.5(+205),5,-135,4.5,120
3013,2016/2017,1103,63,V,Boston,2,1,0,4,150,127,+1.5(-235),5,-135,5.5,125
3014,2016/2017,1103,64,H,TampaBay,1,1,1,3,-170,-147,-1.5(+195),5,115,5.5,-145
3015,2016/2017,1103,65,V,St.Louis,0,1,1,2,-105,-136,-1.5(+210),5.5,105,5.5,115
3016,2016/2017,1103,66,H,Dallas,0,2,4,6,-115,116,+1.5(-260),5.5,-125,5.5,-135
3017,2016/2017,1103,67,V,Colorado,0,0,0,0,150,155,+1.5(-185),5.5,105,5.5,120
3018,2016/2017,1103,68,H,Chicago,2,0,2,4,-170,-175,-1.5(+165),5.5,-125,5.5,-140
3019,2016/2017,1103,69,V,Nashville,1,1,0,2,-145,-150,-1.5(+193),5.5,-105,5.5,-120
3020,2016/2017,1103,70,H,Arizona,1,0,1,3,125,130,+1.5(-232),5.5,-115,5.5,100
3021,2016/2017,1103,71,V,Pittsburgh,1,0,1,2,-105,-115,-1.5(+225),5.5,110,5.5,120
3022,2016/2017,1103,72,H,LosAngeles,0,1,1,3,-115,-105,+1.5(+290),5.5,-130,5.5,-140
3023,2016/2017,1103,73,V,Calgary,0,2,1,3,185,180,+1.5(-165),5.5,115,5.5,110
3024,2016/2017,1103,74,H,SanJose,0,0,2,2,-215,-210,-1.5(+145),5.5,-135,5.5,-130
3025,2016/2017,1104,1,V,Montreal,0,0,0,0,-125,-103,-1.5(+240),5,-130,5,-145
3026,2016/2017,1104,2,H,Columbus,3,5,2,10,105,-117,+1.5(-300),5,110,5,125
3027,2016/2017,1104,3,V,Winnipeg,1,0,4,5,150,156,+1.5(-205),5.5,110,5.5,120
3028,2016/2017,1104,4,H,Detroit,1,1,1,3,-170,-176,-1.5(+175),5.5,-130,5.5,-140
3029,2016/2017,1104,5,V,Arizona,0,1,0,1,185,190,+1.5(-151),5.5,100,5.5,116
3030,2016/2017,1104,6,H,Anaheim,3,1,1,5,-215,-230,-1.5(+131),5.5,-120,5.5,-136
3031,2016/2017,1105,51,V,Minnesota,0,0,0,0,-105,-108,+1.5(-330),5,-130,5,-120
3032,2016/2017,1105,52,H,Colorado,0,0,1,1,-115,-112,-1.5(+265),5,110,5,100
3033,2016/2017,1105,53,V,Vancouver,1,1,1,3,150,150,+1.5(-200),5,-130,5,-140
3034,2016/2017,1105,54,H,Toronto,2,1,3,6,-170,-170,-1.5(+170),5,110,5,120
3035,2016/2017,1105,55,V,Philadelphia,2,0,2,4,165,135,+1.5(-230),5.5,110,5,-135
3036,2016/2017,1105,56,H,Montreal,2,1,2,5,-185,-155,-1.5(+190),5.5,-130,5,115
3037,2016/2017,1105,57,V,NYRangers,2,1,2,5,105,-105,+1.5(-315),5.5,100,5.5,110
3038,2016/2017,1105,58,H,Boston,1,0,1,2,-125,-115,-1.5(+250),5.5,-120,5.5,-130
3039,2016/2017,1105,59,V,Buffalo,0,0,2,2,130,130,+1.5(-260),5.5,110,5,-135
3040,2016/2017,1105,60,H,Ottawa,0,1,0,1,-150,-150,-1.5(+210),5.5,-130,5,115
3041,2016/2017,1105,61,V,NewJersey,1,0,0,1,155,154,+1.5(-210),5,100,5,110
3042,2016/2017,1105,62,H,TampaBay,0,2,2,4,-175,-174,-1.5(+180),5,-120,5,-130
3043,2016/2017,1105,63,V,Florida,1,0,1,2,155,150,+1.5(-200),5,-120,5,-115
3044,2016/2017,1105,64,H,Washington,0,1,3,4,-175,-170,-1.5(+170),5,100,5,-105
3045,2016/2017,1105,65,V,Columbus,0,1,0,1,160,178,+1.5(-175),5.5,115,5.5,110
3046,2016/2017,1105,66,H,St.Louis,0,0,1,2,-180,-208,-1.5(+155),5.5,-135,5.5,-130
3047,2016/2017,1105,67,V,Edmonton,2,1,0,4,115,103,+1.5(-290),5.5,100,5.5,100
3048,2016/2017,1105,68,H,NYIslanders,2,1,0,3,-135,-123,-1.5(+230),5.5,-120,5.5,-120
3049,2016/2017,1105,69,V,Chicago,1,2,0,3,-115,-105,+1.5(-340),5.5,-105,5.5,110
3050,2016/2017,1105,70,H,Dallas,2,0,0,2,-105,-115,-1.5(+275),5.5,-115,5.5,-130
3051,2016/2017,1105,71,V,Carolina,0,1,1,3,155,134,+1.5(-230),5.5,100,5.5,110
3052,2016/2017,1105,72,H,Nashville,1,1,0,2,-175,-154,-1.5(+190),5.5,-120,5.5,-130
3053,2016/2017,1105,73,V,Calgary,0,0,0,0,140,126,+1.5(-240),5.5,110,5.5,125
3054,2016/2017,1105,74,H,LosAngeles,2,2,1,5,-160,-146,-1.5(+200),5.5,-130,5.5,-145
3055,2016/2017,1105,75,V,Pittsburgh,2,3,0,5,110,125,+1.5(-245),5,-135,5,-140
3056,2016/2017,1105,76,H,SanJose,0,0,0,0,-130,-145,-1.5(+205),5,115,5,120
3057,2016/2017,1106,1,V,Edmonton,1,1,0,2,130,140,+1.5(-235),5.5,100,5.5,100
3058,2016/2017,1106,2,H,Detroit,1,0,0,1,-150,-160,-1.5(+195),5.5,-120,5.5,-120
3059,2016/2017,1106,3,V,Colorado,0,1,0,1,155,158,+1.5(-200),5,-135,5,-115
3060,2016/2017,1106,4,H,St.Louis,2,3,0,5,-175,-178,-1.5(+170),5,115,5,-105
3061,2016/2017,1106,5,V,NewJersey,0,2,2,4,125,121,+1.5(-270),5,-125,5,-105
3062,2016/2017,1106,6,H,Carolina,0,0,1,1,-145,-141,-1.5(+220),5,105,5,-115
3063,2016/2017,1106,7,V,Winnipeg,1,1,0,2,180,185,+1.5(-165),5.5,-105,5.5,-110
3064,2016/2017,1106,8,H,NYRangers,1,4,0,5,-210,-215,-1.5(+145),5.5,-115,5.5,-110
3065,2016/2017,1106,9,V,Dallas,1,1,1,3,140,130,+1.5(-215),5.5,-105,5.5,-110
3066,2016/2017,1106,10,H,Chicago,0,1,2,4,-160,-150,-1.5(+185),5.5,-115,5.5,-110
3067,2016/2017,1106,11,V,Calgary,1,0,0,1,160,173,+1.5(-170),5.5,110,5.5,115
3068,2016/2017,1106,12,H,Anaheim,1,2,1,4,-180,-203,-1.5(+150),5.5,-130,5.5,-135
3069,2016/2017,1107,51,V,Vancouver,1,1,0,2,175,165,+1.5(-171),5,-120,5,-125
3070,2016/2017,1107,52,H,NYIslanders,1,1,2,4,-205,-185,-1.5(+151),5,100,5,105
3071,2016/2017,1107,53,V,Buffalo,0,0,0,0,146,150,+1.5(-205),5,-125,5,-115
3072,2016/2017,1107,54,H,Boston,0,3,1,4,-166,-170,-1.5(+175),5,105,5,-105
3073,2016/2017,1107,55,V,TampaBay,0,0,1,1,-115,-115,-1.5(+250),5,-120,5,-120
3074,2016/2017,1107,56,H,Florida,1,0,2,3,-105,-105,+1.5(-310),5,100,5,100
3075,2016/2017,1108,1,V,Edmonton,2,1,0,3,155,180,+1.5(-165),5.5,-110,5.5,100
3076,2016/2017,1108,2,H,Pittsburgh,1,1,2,4,-175,-210,-1.5(+145),5.5,-110,5.5,-120
3077,2016/2017,1108,3,V,Vancouver,0,1,4,5,230,305,+1.5(-105),5.5,100,5,-142
3078,2016/2017,1108,4,H,NYRangers,0,1,2,3,-290,-375,-1.5(-115),5.5,-120,5,122
3079,2016/2017,1108,5,V,Carolina,0,2,0,2,120,142,+1.5(-230),5,100,5,-105
3080,2016/2017,1108,6,H,NewJersey,1,0,1,3,-140,-162,-1.5(+190),5,-120,5,-115
3081,2016/2017,1108,7,V,Detroit,1,0,1,3,120,129,+1.5(-235),5.5,-110,5.5,105
3082,2016/2017,1108,8,H,Philadelphia,1,0,1,2,-140,-149,-1.5(+195),5.5,-110,5.5,-125
3083,2016/2017,1108,9,V,SanJose,0,2,1,3,135,113,+1.5(-260),5,-125,5,100
3084,2016/2017,1108,10,H,Washington,0,0,0,0,-155,-133,-1.5(+210),5,105,5,-120
3085,2016/2017,1108,11,V,LosAngeles,1,4,2,7,105,-113,-1.5(+245),5.5,105,5.5,105
3086,2016/2017,1108,12,H,Toronto,0,0,0,0,-125,-107,+1.5(-305),5.5,-125,5.5,-125
3087,2016/2017,1108,13,V,Boston,0,1,1,2,160,160,+1.5(-185),5,-135,5,-130
3088,2016/2017,1108,14,H,Montreal,0,2,1,3,-180,-180,-1.5(+165),5,115,5,110
3089,2016/2017,1108,15,V,Dallas,0,1,1,2,-114,100,+1.5(-290),5.5,-110,5.5,-115
3090,2016/2017,1108,16,H,Winnipeg,2,4,2,8,-106,-120,-1.5(+230),5.5,-110,5.5,-105
3091,2016/2017,1108,17,V,Ottawa,0,0,1,1,125,135,+1.5(-230),5.5,105,5.5,110
3092,2016/2017,1108,18,H,Nashville,0,2,1,3,-145,-155,-1.5(+190),5.5,-125,5.5,-130
3093,2016/2017,1108,19,V,Arizona,1,2,1,4,150,130,+1.5(-230),5.5,-110,5.5,105
3094,2016/2017,1108,20,H,Colorado,0,2,0,2,-170,-150,-1.5(+190),5.5,-110,5.5,-125
3095,2016/2017,1109,51,V,Anaheim,0,1,1,2,103,-124,-1.5(+235),5.5,115,5,-140
3096,2016/2017,1109,52,H,Columbus,2,0,0,3,-123,104,+1.5(-295),5.5,-135,5,120
3097,2016/2017,1109,53,V,Ottawa,0,1,0,2,110,101,+1.5(-260),5,-130,5,-132
3098,2016/2017,1109,54,H,Buffalo,1,0,0,1,-130,-121,-1.5(+210),5,110,5,112
3099,2016/2017,1109,55,V,Chicago,0,1,0,2,108,113,+1.5(-260),5,-125,5,-122
3100,2016/2017,1109,56,H,St.Louis,0,0,1,1,-128,-133,-1.5(+210),5,105,5,102
3101,2016/2017,1110,1,V,Columbus,1,0,1,2,160,139,+1.5(-215),5,-135,5,-135
3102,2016/2017,1110,2,H,Boston,4,1,0,5,-180,-159,-1.5(+185),5,115,5,115
3103,2016/2017,1110,3,V,Minnesota,1,1,2,4,165,145,+1.5(-205),5.5,115,5,-135
3104,2016/2017,1110,4,H,Pittsburgh,1,1,0,2,-185,-165,-1.5(+175),5.5,-135,5,115
3105,2016/2017,1110,5,V,Anaheim,0,3,1,4,-105,-120,-1.5(+240),5,-130,5,-140
3106,2016/2017,1110,6,H,Carolina,0,1,1,2,-115,100,+1.5(-300),5,110,5,120
3107,2016/2017,1110,7,V,SanJose,1,1,2,4,-125,-115,-1.5(+245),5,-105,5,-110
3108,2016/2017,1110,8,H,Florida,2,0,0,2,105,-105,+1.5(-305),5,-115,5,-110
3109,2016/2017,1110,9,V,Vancouver,0,0,1,1,175,159,+1.5(-205),5,-130,5,-125
